subject	h_thresh	h_30	h_50	h_70	p_thresh	p_30	p_50	p_70	ftp	adj_ftp	weight	pwc
1	46.54	NA	NA	NA	47	41	54	68	171.85	163.2575	63	2.59138888888889
2	45.45	45.3	46	46.7	42	40	59	79	132.44	132.44	57	2.32350877192982
3	45.1	44.4	45	45.7	42	48	58	69	183.44	174.268	59	2.95369491525424
5	45.45	44.4	46.7	NA	34	33	47	60	124.92	118.674	57	2.082
6	45.36	45.2	46.5	47.8	47	76	98	NA	237.92	226.024	73	3.09621917808219
7	45.14	45.7	48.2	NA	35	27	37	48	158.69	150.7555	83	1.8163313253012
8	45.1	42.8	44.3	45.8	35	32	42	53	126.17	119.8615	54	2.21965740740741
9	44.35	42.9	44.6	46.4	34	42	55	68	178.87	169.9265	74	2.29630405405405
10	44.91	44.6	45.2	45.8	33	35	41	48	146.7	139.365	62	2.24782258064516
14	42.8	43.2	43.8	44.4	25	24	31	38	163.48	155.306	69	2.2508115942029
16	45.45	44.7	45.3	46	36	36	43	51	149.9	142.405	62	2.29685483870968
18	45.65	42.3	43.5	44.6	27	25	32	39	118.62	112.689	70	1.60984285714286
19	45.14	44.1	45.3	46.5	27	26	34	42	195.01	185.2595	65	2.85014615384615
21	45.65	42	43.8	45.5	35	41	49	57	118.28	118.28	59	2.00474576271186
22	44.55	44.7	45.6	46.5	25	36	49	61	136.85	136.85	62	2.20725806451613
24	45.1	43.4	44.3	45.3	37	41	53	64	95.338	95.338	65	1.46673846153846
30	45.1	44.3	46	47.8	27	30	46	61	134.54	134.54	55	2.44618181818182
31	42.8	42.7	43.7	44.8	39	43	50	57	144.7	144.7	56	2.58392857142857
32	45.65	43.9	44.9	46	47	71	88	105	108.11	108.11	52	2.07903846153846
34	42.9	32.5	36.5	40.4	25	22	29	36	152.75	152.75	74	2.06418918918919
36	45.2	35.9	40.6	45.4	35	19	33	47	126.79	126.79	70	1.81128571428571
